,Min,Max,Mean,SD,Median,CV,Skewness,Kurtosis,z_skewness,Q1,Q3,IQR
pH,6.5,10.1,7.7207207207207205,0.47388474185897633,7.7,0.061378303788035445,0.9801062433017084,4.615388577054557,4.215596350570257,7.45,8.0,0.5499999999999998
EC (µs/cm),38.0,6831.0,308.3243243243243,791.622007620053,140.0,2.567497745612023,6.7776256116174185,47.66912006005705,29.151670024685878,104.5,215.5,111.0
TDS (mg/L),19.0,3413.5,154.03153153153153,395.5705044574531,70.5,2.5681138175041553,6.777197131589368,47.66696229155672,29.149827062400018,52.0,107.5,55.5
