,Min,Max,Mean,SD,Median,CV,Skewness,Kurtosis,z_skewness,Q1,Q3,IQR
Sand (%),73.6,97.5,88.34414414414415,3.8501873551741195,89.0,0.04358169284986307,-1.0001092666455185,2.95781545223557,-4.301632607134107,86.9,90.2,3.299999999999997
Silt (%),1.6,22.8,9.748648648648647,3.457294393146832,9.2,0.3546434503643826,0.657334819743859,1.7457801276286524,2.8273039643947544,7.95,11.149999999999999,3.1999999999999984
Clay (%),0.2,9.3,1.9063063063063062,1.152568615924629,1.7,0.6046083004141485,3.249520028880676,16.129227401244403,13.976714125100662,1.4,2.1,0.7000000000000002
