,Min,Max,Mean,SD,Median,CV,Skewness,Kurtosis,z_skewness,Q1,Q3,IQR
Dist_Main_Road  (m),88,2810,1794.7142857142858,945.3796075210224,2392.5,0.5267577212964385,-0.49496046278316286,-1.5387083671762984,-2.138473610174422,816.25,2576.5,1760.25
Dist_Near_Road (m),1,1669,916.5089285714286,704.3296729570966,1325.0,0.7684918837124065,-0.3896571811501835,-1.72527352772477,-1.6835114348712523,37.75,1521.25,1483.5
Dist_Tailing (m),133,1544,537.2321428571429,387.11866984571344,353.5,0.7205798740688034,0.9618641039834618,-0.3462353526382218,4.155727896682154,232.5,818.5,586.0
