,Min,Max,Mean,SD,Median,CV,Skewness,Kurtosis,z_skewness,Q1,Q3,IQR
Slope (%),0.59744,8.29984,4.345189464285714,1.8159038453994882,4.22451,0.4179113155651537,-0.05150694192754104,-0.9211413402953603,-0.2225354232002303,2.98718,5.729405,2.742225
Elevation (m),1535.0,1557.0,1545.517857142857,6.409427379318634,1544.5,0.004147106647585108,0.26971799585867806,-1.244611760742814,1.1653149285695585,1540.0,1551.25,11.25
