,Min,Max,Mean,SD,Median,CV,Skewness,Kurtosis,z_skewness,Q1,Q3,IQR
Cu (mg/kg),11.436,521.447,87.87027027027025,93.3542591663065,54.154,1.0624100606401763,2.565798654921382,7.288757881097123,11.035917299687094,30.829500000000003,102.4455,71.61599999999999
Zn (mg/kg),11.909,132.337,29.952738738738738,16.692792087774514,26.07,0.5573043665013926,3.2757614683403524,13.629926025981522,14.089582823954434,20.567,31.5565,10.9895
Pb (mg/kg),3.372,60.017,9.70482882882883,9.875162904869304,6.599,1.0175514765942584,3.546941320345592,12.777307839920198,15.255971470363212,5.515000000000001,8.465499999999999,2.950499999999998
Cu_log,1.0582741466859513,2.7172101732088416,1.7718544500122224,0.37635690754527634,1.7336305406246646,0.21240847832770926,0.36619929691327446,-0.4813435321822692,1.5750827323051528,1.4889146014052925,2.0104923534358257,0.5215777520305331
Zn_log,1.075875295259833,2.1216812852251117,1.4353695361180128,0.1728928138917752,1.416141031168329,0.12045177882161792,1.3217155864186163,2.3934224530024473,5.684913692446463,1.3131694511351912,1.499088638896457,0.18591918776126581
Pb_log,0.5278875659527047,1.7782742830580436,0.8868636743797504,0.24813875039463176,0.8194781283621226,0.27979356643305253,1.875166770985359,3.2896109014335657,8.065397246983045,0.7415432035899415,0.9276510800832523,0.18610787649331073
