Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m),NDVI,Land Use,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pd (mg/kg)
S39,16.6524025,-23.7965278,89.987,108.4,1536,0.0683,barren,2679,1371,332,89.1,7.3,3.7,8.0,103,51.5,1.48,132.498,26.583,4.331
S40,16.6515478,-23.7969152,89.992,194.0,1536,0.0723,barren,2641,1299,337,91.2,6.8,2.0,7.7,70,34.5,2.42,72.538,18.235,4.773
S41,16.6507026,-23.7972655,89.987,161.6,1535,0.0662,barren,2568,1229,338,91.8,6.4,1.8,7.0,140,70.5,1.90,21.381,34.107,5.547
S42,16.632273,-23.78967,89.990,315.0,1540,0.1029,residential,524,22,1072,97.0,2.5,0.5,7.1,116,58.0,1.60,13.275,18.008,7.437
S43,16.6359454,-23.7911613,89.978,59.0,1546,0.0688,residential,931,8,668,87.0,10.9,2.1,7.6,112,55.5,1.76,148.463,18.624,5.662
S44,16.6357017,-23.7915567,89.993,188.5,1550,0.0647,residential,921,3,685,92.5,6.5,1.0,8.4,289,144.5,2.80,59.463,22.532,4.921
S45,16.6353305,-23.7911772,89.985,305.5,1546,0.0821,residential,872,21,729,82.2,17.5,0.3,7.2,4645,2320.5,2.55,212.781,30.855,9.755
S46,16.6364199,-23.7919442,89.993,49.4,1550,0.0837,residential,1004,3,608,94.2,4.7,1.1,8.0,170,85.0,2.63,117.323,33.297,10.016
S47,16.6361288,-23.7924857,89.982,351.9,1552,0.1071,residential,993,62,636,89.9,8.8,1.3,7.7,166,83.5,3.39,72.583,70.685,59.105
S48,16.6356605,-23.7926584,89.989,335.6,1552,0.0933,residential,953,68,684,90.2,8.2,1.6,6.9,121,60.5,0.80,21.476,11.909,4.767
S49,16.635226,-23.792849,89.986,333.4,1551,0.1134,residential,917,64,729,91.1,7.4,1.5,8.2,556,277.5,2.43,46.818,30.188,60.017
S50,16.634758,-23.792796,89.987,306.9,1550,0.0724,residential,870,55,776,88.7,10.7,0.7,7.3,294,146.5,2.28,105,132.337,45.800
S51,16.6343495,-23.792879,89.989,301.0,1549,0.0800,residential,832,23,819,91.9,6.9,1.2,7.6,232,116.0,2.35,53.52,25.213,20.548
S52,16.6343133,-23.7924102,89.990,288.4,1549,0.0748,residential,814,3,820,86.9,12.5,0.5,7.9,226,114.0,1.98,98.302,20.039,8.207
S53,16.627265,-23.791234,89.960,161.6,1550,0.0544,residential,88,11,1544,89.2,9.1,1.7,7.7,181,90.5,1.95,17.752,29.078,1320.409
S54,16.627686,-23.790871,89.970,346.9,1549,0.0517,residential,118,17,1505,87.6,10.4,2.0,7.7,205,102.0,1.86,18.805,29.841,5.605
S55,16.628223,-23.790522,89.988,174.8,1549,0.0737,residential,158,15,1456,90.1,8.2,1.7,7.7,499,249.5,1.54,23.904,25.471,7.103
S56,16.628769,-23.790473,89.991,153.4,1547,0.0636,residential,210,14,1402,87.5,11.1,1.5,7.7,113,56.5,1.31,18.334,18.72,7.965
S57,16.6299135,-23.79039,89.991,153.4,1546,0.0592,residential,319,2,1288,90.5,8.0,1.5,7.5,259,129.5,1.55,16.519,26.027,8.488
S58,16.630422,-23.790321,89.989,121.0,1543,0.0801,residential,366,3,1239,87.9,9.0,3.1,6.9,332,166.0,2.98,16.735,22.995,6.276
S59,16.630868,-23.790152,89.980,108.4,1542,0.0787,residential,404,9,1198,87.0,11.7,1.3,7.2,184,92.0,1.53,66.985,63.89,24.319
S60,16.63156,-23.789918,89.982,56.3,1540,0.0713,residential,463,1,1135,86.4,12.5,1.1,7.0,238,118.5,3.57,104.175,92.416,25.918
S61,16.631861,-23.789641,89.990,347.0,1539,0.0973,residential,483,10,1113,85.1,14.3,0.6,7.7,533,266.5,2.31,87.777,45.442,17.236
S62,16.6428,-23.78649,89.978,149.0,1539,0.0733,barren,1206,484,496,87.2,11.2,1.5,7.1,311,155.5,2.58,173.682,20.738,7.240
S63,16.64311,-23.787264,89.988,240.9,1536,0.0749,barren,1287,468,404,89.9,9.9,0.2,6.5,6831,3413.5,2.47,25.786,23.744,6.672
S64,16.643443,-23.78656,89.972,243.4,1539,0.0612,barren,1261,534,469,84.9,13.2,2.0,7.5,130,64.5,1.99,87.868,27.597,36.567
S65,16.643854,-23.786543,89.983,336.8,1539,0.0805,barren,1292,572,458,97.0,2.5,0.4,7.5,38,19.0,0.84,24.812,13.952,6.190
S66,16.643782,-23.786165,89.988,158.2,1539,0.0601,barren,1261,587,500,90.5,8.1,1.3,7.6,50,25.5,2.17,47.135,20.368,6.964
S67,16.65399,-23.7967,89.968,180.0,1540,0.0632,barren,2810,1533,414,89.2,8.8,2.0,8.4,140,70.0,1.60,43.08,23.491,4.394
S68,16.65412,-23.7963,89.977,135.0,1540,0.0655,barren,2790,1536,379,91.4,6.5,2.1,7.6,104,52.0,1.82,87.472,43.901,22.797
S69,16.654,-23.79587,89.978,149.0,1540,0.0604,barren,2749,1516,331,87.6,10.6,1.8,7.4,103,51.5,1.50,200.787,25.961,6.144
S70,16.65412,-23.79583,89.960,108.4,1539,0.0604,barren,2755,1527,333,86.5,12.1,1.4,7.9,120,60.0,2.43,184.187,21.663,6.962
S71,16.65421,-23.79505,89.978,149.0,1541,0.0574,barren,2706,1524,269,89.1,9.1,1.9,7.7,176,87.5,3.70,94.22,31.944,7.288
S72,16.65423,-23.79454,89.989,180.0,1544,0.0539,barren,2671,1521,231,73.6,22.8,3.6,7.2,254,126.5,3.30,23.95,36.388,5.481
S73,16.65445,-23.79429,89.988,185.2,1546,0.0692,barren,2672,1541,234,79.3,16.3,4.3,7.4,156,77.5,1.77,54.154,18.302,5.563
S74,16.65389,-23.79424,89.987,180.0,1546,0.0655,barren,2624,1484,183,74.0,19.4,6.6,7.9,236,118.5,3.49,102.285,33.954,7.389
